message boards, e-mails, etc. I mean we erase spam messages because we hate them, right? Doesn't benefit us and it can't benefit spammers either because we don't fall for them and erase them. So what IS the point? Why does spam even exist? Seems to me like a waste of time, for both sides.	There are spam-filtering techniques that search for patterns in the headers or the messages themselves so why do we need this?	CQA-19
i need to have a site. is there free websites are available? if so, what they expect in return or what they are getting by giving free websites?	I'm looking for a free website, but i want to know what the catch is for places that give them out for free.	CQA-20
I use firefox but internet explorer still opens my hotmail and some other programs. How do i get to just firefox?	How do I eliminate internet explorer from my computer?	CQA-21
I try to combine the turkish version of the books with the original-ones, but cannot figure how. Any ideas?	How can I combine two versions of one book?	CQA-22
Do I really Need internet explorer in my windows? I use firefox more than often (safer). Is it ok to just deinstall internet explorer?	When using a safer, better web browser such as Firefox, is it possible to uninstall others such as Internet Explorer?	CQA-23
I'm looking at stats for a website. What's the difference between page impressions and actual hits, if there is a distinction?	GIF of a model plane crashing into a dude and making him faceplant?	CQA-24
Ok so i just sold an item on ebay. In the item description i clearly stated i could only deliver to the U.K. But now the guy who has won the auction is from portugal and is asking me for the total payment. the guy who was second in the auction is from the U.K and only bidded 50p less. So what do i do , Can i just tell the winning bidder he can't have it and make a second chance offer to the second person?	how can i view my webcam at home on my phone when i am at work?	CQA-25
I lost the password to my twitter account and I really want to see the things I posted on there. Sadly, no one followed me except me and a couple of my friends. Now I want to find my twitter page but there's no real twitter user search. What can I do?	Why cant i delete the virus in my computer with kaspersky?	CQA-26
I've noticed while using chatango that certain smileys can be used that arn't listed on the smiley page. So far, I've seen *burger* and *poop* <---( yeah that one is weird.) I was wondering if there are anymore? Just curious.	What smileys can you use with chatango?	CQA-27
Someone told me about a website where you could do the above. You have a job you want done and you go to this website and people will bid to do it and then you can pick the lowest price. Does anyone know this website? Thanks.	Is there a website where I can offer a job and people can respond with estimates in order to chose?	CQA-28
the status bar that is in my internet explorer page down under thats say's " done but with errors" and there is yellow sign with it. How can I fix it because sometimes I cant for example click back botton and it responds, so what should I do?	How can I fix the 'done but with errors' status that is appearing on my internet page?	CQA-29
There are a few hours left on my item, and I have about 8 watchers but no one has bidded yet. I'm just worried that they will all snipe the auction, and then the person with the highest snipe bid will win and it will still go for a low price. I know it's against the policies, but should I shill bid just to get a war going?	Does Comcast throttle me down because I use bittorrent client?	CQA-30
I am subscribed to the Freshome.com newsletter, and I find it interesting. I think email newsletters are easier than remembering to go to the website every other day. Do you have any good newsletters that are interesting and worthwhile? (FYI: I don't find Holiday's Inn newsletter interesting)	The newsletter on the table contained recipes for winter time, devised by Jamie Oliver.	CQA-31
I have a site in which there are a lot of difficult words in the content. Is it possible to add a feature which will let people read meanings of words upon hovering over a word / double clicking it? If yes, how?	Is there a site where i can download latest korean movies 2009/10?	CQA-32
I have a $35 gift card but I can't decide what to spend it on. What would you get?	Choosing what to buy with a $35 gift card is a hard decision.	CQA-33
I am currently using a computer that I enabled with a wifi adapter that he doesn't know has internet connectivity. I'm afraid to log onto our house's network (I know the password) that has the best signal strength just because when I was on the computer I'm supposed to be using he could enable or disenable internet via *his* computer. Does this give him the ability to see what computers are on the connection, including foreign computers? He is using Windows Vista Parental Controls (or something that comes with windows Vista)	I am unsure whether using Windows Vista Parental control with a wifi connection will weaken or strengthen my privacy and security online.	CQA-34
I was very skeptical of a site called "chatroulette" where you can vid with people. i was stupid and decided to try it out. well i got paired with a perv older man who was jacking off on camera! I've been to all of those internet safety classes and stuff, but am really creeped out by this. Could he find my from a pic of my face and hunt me down? I'm very nervous. I know I should'nt have gone on that site...	I'm regretting going on suspicious website Chatroulette because of bad experiences with mature men masturbating, and having further fears of being tracked down by participants.	CQA-35
I am looking for a website where I can see "My Wife and Kids". I have tried Hulu, Fox and a few others. Where is a safe site that you can see this show?	In England, the television license is a fee paid by all television-watching citizens in the country.	CQA-36
I use to use Internet Explorer, hated it. Too slow, too many problems. I currently use Firefox, but it's starting to go downhill too. I'm thinking of trying Google Chrome, but don't know how it compares to these other ones? Are there any others besides these three that you like better?	I would like to be a medieval explorer in the iron age.	CQA-37
I have IE 6.0 on my work computer and it runs fine. But when I close the window, it freezes up and I have to force it to close every time? Can someone help me fix this problem? Thank you.	Internet Explorer is produced by Microsoft and is one of the most widely used web browsers worldwide.	CQA-38
I was just wondering when Lockerz PTZ are redeemable. I want to know when I get enough PTZ to get an iTouch, how to get it. I hear there's some kind of thing where you can redeem your PTZ for a day. But when will that be? Tell me how to view when the redemption day thing is, and when this months will take place. Thanks.	Points schemes are used to create loyal customers by giving them rewards for being faithful to the brand.	CQA-39
There is a cool little website called There.com that let's you interact with people all over the world and dress your avatar and fun things like that (something like Sims but on a website). I hadn't gone on there.com for quite a while but felt like trying it again today, when, unfortunately, it said "closed" when i went to the website. Will there.com ever re-open? or is it closed permanently?	The avatar website There.com appears to be permanently closed.	CQA-40
Hey, I live in the USA but I am obsessed with Hiplife music in Ghana. :) I REALLY want to watch the Ghana Music Awards Festival on April 10, 2010 to see if my favorite performers win any (hopefully ALL) the five awards they've been nominated for. Is there ANY way to watch Ghana TV so I can see the show too??? THANKS.	On ebay, is there a fee to revise your listing?	CQA-41
I'm using Firefox 2.0.0.2 (the last release for my Windows 98SE operating system), and Yahoo! Avatars don't show up on screen. Do I have some settings wrong, or is it a glitch? IE 6.5 displays the Avatars but is ungodly slow.	Firefox web browser is a well-trusted brand, while Internet Explorer is less trusted by users.	CQA-42
it has been happening alot recently(all i get is the good ole red X) in IE so i tried out firefox to see if IE was the issue and it wasn't it did the same thing in firefox, i have done everything microsoft has mentioned on their website and also tried what this person has said (http://forums.majorgeeks.com/showthread.php?t=30885) and ive check to see what format the picture is in it's jpg and sill nothing just a red x followed by some text that says "IPB picture"	I can't get rid of the big red X in IE that appears where the picture should.	CQA-43
I just recently started a tumblr, and i have 6 followers so far. The only thing is, I can only see 5 of those followers, I cannot see the 6th person. Why is this?	Why am I having such a hard time opening websites via my phone service 'high speed internet'?	CQA-44
has anyone got the ipod touch 8 gb from lockerz yet? im saving up for it and i wanted to know what generation it is. Also, does it come with the built in wifi? and has anyone ordered one and not recieved it?	Wifi allows computers, smartphones, and other devices to connect to wirelessly connect to the internet.	CQA-45
Whenever I boot up my computer, AOL pops up in my web browser before I even open the web browser. I've tried resetting my home page and it doesn't work. I've tried logging out, that doesn't work either. It also just logs me back on after five minutes. Virus, maybe? I have no clue. I can close my laptop's screen, keep the web browser open, and when I open my laptop back up, it opens a new tab to AOL. Any clue on how to fix this? It's really starting to get annoying. :/ Thanks for your time.	AOL pop ups are driving me crazy even after i thought i removed it from the system.	CQA-46
calling from Australia to Italy is really REALLY bad! the picture's bad and things come late and have to repeat myself... How can i make things better so i can have a proper convo???	How can I improve my connection when calling Australia from Italy?	CQA-47
Any ideas about what's causing the crash? It doesn't matter which site I'm on (Youtube, Hulu, etc.) my computer always freezes after a few minutes and then I have to restart it.	I have to restart my computer a lot.	CQA-48
I've been allowed access to my neighbours internet connection which is unsecured...it's in the middle of no where so no one else will be able to get on but i was wondering if my nieghbours could see what i'm doing, my email, the sites i'm on and stuff like that?	Is there a website where you can anonymously post thoughts or experiences?	CQA-49
i mean there are other poor countries around the world that could do this. so why is nigeria behind just about all of them, is the government in on it??	Is the Nigerian government responsible for its low position behind many poorer countries, or is there an alternate explanation?	CQA-50
I just downloaded Internet Explorer 8 onto my laptop, but now I want to delete it, so I can Download Google Chrome (which I hear is better)... Can someone help me?	How can I delete Internet Explorer?	CQA-51
ok so i have a tumblr account. i want to private my tumblr now because i don't want people to see it. how do i do so? i know i can create a new blog under the tumblr im using now, but i don't want that. i want people to be required to type a password to view my tumblr. how do i do that?	How do I make my tumblr private?	CQA-52
I'd like to know the steps to add a chat room to my web site that integrates voice and possibly video chatting. What software do I need? Do I need a host? ETC....	How can I speak with my relatives through video chatting?	CQA-53
So I want to buy some zippo lighter fluid from amazon but I don't know what via ground is. Is it ups or usps?	Im looking to sell my dvds on ebay..can you help?	CQA-54
My boyfriend is at work doing medical billing, and he talks to me via Aim Express. can his employers track our conversation?	Generally, a course at a medical school will take at least 5 years to complete.	CQA-55
Me and my brother each have our own Lockerz account. If we were to get alot of PTZ and get a prize, can we send it to the same house? Basicly, are we allowed to have more than one account per household?	Me and my brother live in the same house.	CQA-56
I would like to start a blog, but I am pretty confused on what domain shall I write. So what is better in terms of customization and easiness? It would be a great help if you can tell both the pros and cons...	What are good blogging websites to use?	CQA-57
I type what web site I want in my browser and when the results come up I then clink on the link and a different web site comes up. I then have to click the back button and click the link again and then it will take me where I wanted to go in the first place. This is happening a lot now. Why?	The little brown fox jumped over the burning log.	CQA-58
I have the letters L,i,B,E,and S. Anybody know the word?	I need help with a world puzzle.	CQA-59
This guy is really interested in the cell phone that i am selling, the thing is that he has no records of buying anything before. I heard of scamers where they buy something and pay you but when you send the product to them, they somehow take out the money again. is that true?	I am trying to sell a phone on the internet however I am unsure about how to package it, could somebody recommend the safest way?	CQA-60
Ok, so I want your SERIOUS advice. Meaning, I need you to do some thinking for me. There's a comedian I like, I won't say who but you've most likely never heard of him. He's pretty successful online, and like most good comedians, he has a twitter. And it's hilarious. Only problem is, he never "tweets" at anybody, just writes funny things. If I keep tweeting funny things at him do you think eventually he'll notice me? Or think I'm a stalker? I just think he's the coolest and I want him and I to meet. He's not Tom Cruise but he has been in some major things. I also know he's single. Other prob-- he lives in LA and I live in NY but it's not that big of a prob....	I really want to meet my favorite comedian because I think he's the coolest and I know he's single, but he lives in CA and I live in NY.	CQA-61
I don't have any use for another premium megaupload account, I have a life-time account there. Also, I wanted to try to upload files on rapidshare to get some points but then I saw that rapidshare is evil and requires you to buy an account before trying to obtain points... So lets see with hotfile, netload, depositfiles, or other hosts have to offer? Thanks	What do hotfile, netload, depositfiles, and other hosts have to offer?	CQA-62
Hey, how do I view network security cameras at my school? At my school, I am able to view all the network security cameras on a school computer. How do I do this at home? I know my school's IP address...	Where can i download Dj Earworm mash up 2009 blame it on the pop?	CQA-63
After being banned by gmail, Yahoo seems to magically know this, and prevents me from posting on Yahoo answers because of "unusual network activity" coming from my IP. Is Google passing information about my usage to Yahoo?	Can one email account send information to another to not allow me to get in?	CQA-64
I need to find out who lives at a particular address such as names, phone number etc...is there an online search that can help with this?	I need to find a particular address.	CQA-65
So basically, the house I'm renting a room in has DirecTV cable and AT&T for an internet service provider. But, I want to get Time Warner Cable internet in my room. Would this be at all possible? Thanks for any help!	I am looking at red xbox 360 controllers on eBay and it says condition: As-is, what does that mean?	CQA-66
Hi, I wanna be an hacker but I don't know how to become one. Are there an guide on internet? Or can some one help me to become one? Please help me :) I really need help :O	Why does my friend have such a bad connection to mw2?	CQA-67
Well i just rebooted my whole computer, wiping out everything. Well somehow i got this virus, and when i search anything and click the link, it brings me to the wrong links that are scams, also with my internet pop up blocker put on, pop ups about scams come up. And even if i have internet, my google chrome will not load. I ran my symantec anti virus, and it cant pick it up. neither can malware bytes, or spyware doctor, or avira. can anyone help?	I can't get rid of a virus on my computer so I'm looking for help or advice!	CQA-68
Just for kicks, I'm thinking about creating a fake dating profile and uploading some pics of a really hot male model just to see what kind of responses I get from women. I woudn't respond or lead them on or anything. I'm not that cruel. Would this be funny as hell or over the line, or both, or neither?	A first date tends to be a one on one meeting in a public place so that participants can get to know each other better and to see if they are compatible.	CQA-69
Do you think they will start charging us to use the internet. I mean charge us when we switch to different pages. Will they charge us because they are running out of domain names?	Will internet become cost prohibitive?	CQA-70
If I'm discussing "how to help people", world issues and the like - what topics would you like to see blogged about? Also, could you have a look at it and see if it's okay? outsideyourbubble.wordpress.com I just don't know what to talk about or if I'm on the right track :(	I can ping the websites but no browser can show the web pages?	CQA-71
Two men were traveling together, when a Bear suddenly met them on their path. One of them climbed up quickly into a tree and concealed himself in the branches. The other, seeing that he must be attacked, fell flat on the ground, and when the Bear came up and felt him with his snout, and smelt him all over, he held his breath, and feigned the appearance of death as much as he could. The Bear soon left him, for it is said he will not touch a dead body. When he was quite gone, the other Traveler descended from the tree, and jocularly inquired of his friend what it was the Bear had whispered in his ear. "He gave me this advice," his companion replied. "Never travel with a friend who deserts you at the approach of danger."	Never travel with a friend who deserts you at the approach of danger.	Metaphoric-72
A doe blind in one eye was accustomed to graze as near to the edge of the cliff as she possibly could, in the hope of securing her greater safety. She turned her sound eye towards the land that she might get the earliest tidings of the approach of hunter or hound, and her injured eye towards the sea, from whence she entertained no anticipation of danger. Some boatmen sailing by saw her, and taking a successful aim, mortally wounded her. Yielding up her last breath, she gasped forth this lament: "O wretched creature that I am! to take such precaution against the land, and after all to find this seashore, to which I had come for safety, so much more perilous."	Hunting by sea is an usual technique for surprising animals in the littoral regions.	Metaphoric-73
An Eagle made her nest at the top of a lofty oak; a Cat, having found a convenient hole, moved into the middle of the trunk; and a Wild Sow, with her young, took shelter in a hollow at its foot. The Cat cunningly resolved to destroy this chance-made colony. To carry out her design, she climbed to the nest of the Eagle, and said, "Destruction is preparing for you, and for me too, unfortunately. The Wild Sow, whom you see daily digging up the earth, wishes to uproot the oak, so she may on its fall seize our families as food for her young." Having thus frightened the Eagle out of her senses, she crept down to the cave of the Sow, and said, "Your children are in great danger; for as soon as you go out with your litter to find food, the Eagle is prepared to pounce upon one of your little pigs." Having instilled these fears into the Sow, she went and pretended to hide herself in the hollow of the tree. When night came she went forth with silent foot and obtained food for herself and her kittens, but feigning to be afraid, she kept a lookout all through the day. Meanwhile, the Eagle, full of fear of the Sow, sat still on the branches, and the Sow, terrified by the Eagle, did not dare to go out from her cave. And thus they both, along with their families, perished from hunger, and afforded ample provision for the Cat and her kittens.	Instilling fear in those that might hinder you can benefit you.	Metaphoric-74
One day a countryman going to the nest of his Goose found there an egg all yellow and glittering. When he took it up it was as heavy as lead and he was going to throw it away, because he thought a trick had been played upon him. But he took it home on second thoughts, and soon found to his delight that it was an egg of pure gold. Every morning the same thing occurred, and he soon became rich by selling his eggs. As he grew rich he grew greedy; and thinking to get at once all the gold the Goose could give, he killed it and opened it only to find nothing.	A magic goose lays eggs of pure gold.	Metaphoric-75
A dog was walking home with his dinner, a large slab of meat, in his mouth. On his way home, he walked by a river. Looking in the river, he saw another dog with a handsome chunk of meat in his mouth. "I want that meat, too," thought the dog, and he snapped at the dog to grab his meat which caused him to drop his dinner in the river.	Those who pretend to be what they are not, sooner or later, find themselves in deep water.	Metaphoric-76
An Eagle was soaring through the air when suddenly it heard the whizz of an Arrow, and felt itself wounded to death. Slowly it fluttered down to the earth, with its life-blood pouring out of it. Looking down upon the Arrow with which it had been pierced, it found that the shaft of the Arrow had been feathered with one of its own plumes. "Alas!" it cried, as it died, "We often give our enemies the means for our own destruction."	Enemies are often able to take advantage of things we give them or reveal about ourselves.	Metaphoric-77
A Groom used to spend whole days in currycombing and rubbing down his Horse, but at the same time stole his oats and sold them for his own profit. "Alas!" said the Horse, "if you really wish me to be in good condition, you should groom me less, and feed me more.	Horses need food to look their best.	Metaphoric-78
A man and his wife owned a very special goose. Every day the goose would lay a golden egg, which made the couple very rich. "Just think," said the man's wife, "If we could have all the golden eggs that are inside the goose, we could be richer much faster." "You're right," said her husband, "We wouldn't have to wait for the goose to lay her egg every day." So, the couple killed the goose and cut her open, only to find that she was just like every other goose. She had no golden eggs inside of her at all, and they had no more golden eggs.	Quality is better than quantity.	Metaphoric-79
A Mule, frolicsome from lack of work and from too much corn, galloped about in a very extravagant manner, and said to himself: "My father surely was a high-mettled racer, and I am his own child in speed and spirit." On the next day, being driven a long journey, and feeling very wearied, he exclaimed in a disconsolate tone: "I must have made a mistake; my father, after all, could have been only an ass."	Because of the high price of horses, donkey racing was popular in the Middle Ages.	Metaphoric-80
A miser sold all that he had and bought a lump of gold, which he buried in a hole in the ground by the side of an old wall and went to look at daily. One of his workmen observed his frequent visits to the spot and decided to watch his movements. He soon discovered the secret of the hidden treasure, and digging down, came to the lump of gold, and stole it. The Miser, on his next visit, found the hole empty and began to tear his hair and to make loud lamentations. A neighbor, seeing him overcome with grief and learning the cause, said, "Pray do not grieve so; but go and take a stone, and place it in the hole, and fancy that the gold is still lying there. It will do you quite the same service; for when the gold was there, you had it not, as you did not make the slightest use of it."	The workman used the gold to buy a new house.	Metaphoric-81
A Heifer saw an Ox hard at work harnessed to a plow, and tormented him with reflections on his unhappy fate in being compelled to labor. Shortly afterwards, at the harvest festival, the owner released the Ox from his yoke, but bound the Heifer with cords and led him away to the altar to be slain in honor of the occasion. The Ox saw what was being done, and said with a smile to the Heifer: "For this you were allowed to live in idleness, because you were presently to be sacrificed."	People who live idly may serve a yet-unknown purpose.	Metaphoric-82
A Farmer placed nets on his newly-sown plowlands and caught a number of Cranes, which came to pick up his seed. With them he trapped a Stork that had fractured his leg in the net and was earnestly beseeching the Farmer to spare his life. "Pray save me, Master," he said, "and let me go free this once. My broken limb should excite your pity. Besides, I am no Crane, I am a Stork, a bird of excellent character; and see how I love and slave for my father and mother. Look too, at my feathers-- they are not the least like those of a Crane." The Farmer laughed aloud and said, "It may be all as you say, I only know this: I have taken you with these robbers, the Cranes, and you must die in their company."	People will be judged according to the company they keep.	Metaphoric-83
A hound having started a Hare on the hillside pursued her for some distance, at one time biting her with his teeth as if he would take her life, and at another fawning upon her, as if in play with another dog. The Hare said to him, "I wish you would act sincerely by me, and show yourself in your true colors. If you are a friend, why do you bite me so hard? If an enemy, why do you fawn on me?'	Acting both friendly and aggressive is confusing.	Metaphoric-84
A Hunter, not very bold, was searching for the tracks of a Lion. He asked a man felling oaks in the forest if he had seen any marks of his footsteps or knew where his lair was. "I will," said the man, "at once show you the Lion himself." The Hunter, turning very pale and chattering with his teeth from fear, replied, "No, thank you. I did not ask that; it is his track only I am in search of, not the Lion himself."	Lions inspire fear, even for hunters.	Metaphoric-85
A Deer hotly pursued by the hounds fled for refuge into an ox-stall, and buried itself in a truss of hay, leaving nothing to be seen but the tips of his horns. Soon after the Hunters came up and asked if any one had seen the Deer. The stable boys, who had been resting after their dinner, looked round, but could see nothing, and the Hunters went away. Shortly afterwards the master came in, and looking round, saw that something unusual had taken place. He pointed to the truss of hay and said: "What are those two curious things sticking out of the hay?" And when the stable boys came to look they discovered the Deer, and soon made an end of him. He thus learnt that nothing escapes the master's eye.	Deer antlers make it difficult for the animal to camouflage itself in urban settings.	Metaphoric-86
A man whose hair was turning gray had two wives. One wife was much younger than the man, and the other wife was much older. The older wife was embarrassed at being married to man much younger than herself. At night, whenever he was with her, she would pluck out all of his hairs that were not gray. The younger woman was equally embarrassed at being married to a man so much older than herself. At night, whenever he was with her, she would pluck out all of hairs that were gray. Between the two wives, the man was soon left without a hair on his head.	Appearances are deceptive.	Metaphoric-87
The Monkey, it is said, has two young ones at each birth. The Mother fondles one and nurtures it with the greatest affection and care, but hates and neglects the other. It happened once that the young one which was caressed and loved was smothered by the too great affection of the Mother, while the despised one was nurtured and reared in spite of the neglect to which it was exposed.	Neglected monkey babies often perish from exposure to the elements.	Metaphoric-88
A man who wanted to buy an Ass went to market, and, coming across a likely-looking beast, arranged with the owner that he should be allowed to take him home on trial to see what he was like. When he reached home, he put him into his stable along with the other asses. The newcomer took a look round, and immediately went and chose a place next to the laziest and greediest beast in the stable. When the master saw this he put a halter on him at once, and led him off and handed him over to his owner again. The latter was a good deal surprised to seem him back so soon, and said, "Why, do you mean to say you have tested him already?" "I don't want to put him through any more tests," replied the other. "I could see what sort of beast he is from the companion he chose for himself."	Your choice in friends reveals a lot about who you are.	Metaphoric-89
A sailor, bound on a long voyage, took with him a Monkey to amuse him while on shipboard. As he sailed off the coast of Greece, a violent tempest arose in which the ship was wrecked and he, his Monkey, and all the crew were obliged to swim for their lives. A Dolphin saw the Monkey contending with the waves, and supposing him to be a man (whom he is always said to befriend), came and placed himself under him, to convey him on his back in safety to the shore. When the Dolphin arrived with his burden in sight of land not far from Athens, he asked the Monkey if he were an Athenian. The latter replied that he was, and that he was descended from one of the most noble families in that city. The Dolphin then inquired if he knew the Piraeus (the famous harbor of Athens). Supposing that a man was meant, the Monkey answered that he knew him very well and that he was an intimate friend. The Dolphin, indignant at these falsehoods, dipped the Monkey under the water and drowned him.	Monkeys cannot swim for long distances and avoid open water.	Metaphoric-90
The Deer was once drinking from a pool and admiring the noble figure he made there. "Ah," said he, "where can you see such noble horns as these, with such antlers! I wish I had legs more worthy to bear such a noble crown; it is a pity they are so slim and slight." At that moment a Hunter approached and sent an arrow whistling after him. Away bounded the Deer, and soon, by the aid of his nimble legs, was nearly out of sight of the Hunter; but not noticing where he was going, he passed under some trees with branches growing low down in which his antlers were caught, so that the Hunter had time to come up. "Alas! alas!" cried the Deer: "We often despise what is most useful to us."	Deer have nimble legs which let the quickly escape from dangerous situations.	Metaphoric-91
The ass and the Fox, having entered into partnership together for their mutual protection, went out into the forest to hunt. They had not proceeded far when they met a Lion. The Fox, seeing imminent danger, approached the Lion and promised to contrive for him the capture of the Ass if the Lion would pledge his word not to harm the Fox. Then, upon assuring the Ass that he would not be injured, the Fox led him to a deep pit and arranged that he should fall into it. The Lion, seeing that the Ass was secured, immediately clutched the Fox, and attacked the Ass at his leisure.	Selling out a friend can come back to bite you in the end.	Metaphoric-92
An wold woman found an empty jar which had lately been full of prime old wine and which still retained the fragrant smell of its former contents. She greedily placed it several times to her nose, and drawing it backwards and forwards said, "O most delicious! How nice must the Wine itself have been, when it leaves behind in the very vessel which contained it so sweet a perfume!"	Properly cleaned, a wine bottle may be recycled and used to age new wine.	Metaphoric-93
A very hungry rooster was scratching and digging in the dirt looking for food. He scratched and dug and finally found a beautiful jewel. He was amazed at how the gem shone glittered. "This is a very fine and beautiful thing," he thought, "but I would rather have one tasty kernel of corn instead."	You may share the labours of the great, but you will not share the spoil.	Metaphoric-94
A man was leading his donkey down a road, when the donkey got free and ran to the edge of high cliff. The man ran as fast as he could to the donkey and grabbed his tail to stop the donkey from going off the edge of the cliff. But the donkey was stubborn; the more the man tried to stop him, the more the donkey pulled the other way. "Oh well," said the man, "if you are determined to go your own way, I cannot stop you."	The memory of a good deed lives on.	Metaphoric-95
A fly bit the bare head of a Bald Man who, endeavoring to destroy it, gave himself a heavy slap. Escaping, the Fly said mockingly, "You who have wished to revenge, even with death, the Prick of a tiny insect, see what you have done to yourself to add insult to injury?' The Bald Man replied, "I can easily make peace with myself, because I know there was no intention to hurt. But you, an ill-favored and contemptible insect who delights in sucking human blood, I wish that I could have killed you even if I had incurred a heavier penalty."	People will go to great lengths -even injuring themselves- to repay perceived injustices.	Metaphoric-96
The mice, frustrated by the constant dangers of the cat, meet in council to determine a solution to their tiring challenge. They discussed, and equally rejected, plan after plan. Eventually, a very young mouse raised up on his hind legs, and proposed that a bell should be hung around the cat's neck. "What a splendid idea!" they cried. "Excellent suggestion!" "Oh yes, that would very well warn of the cat's presence in time to escape!" They were accepting the proposal with great enthusiasm and applause, until a quiet old mouse stood up to speak. "This is, indeed, a very good suggestion and would no doubt solve our problems," he said, "Now, which one of us will put the bell around the cat's neck?"	Honesty is the best policy.	Metaphoric-97
Please watch the code dates. Check as soon as you get them. I realized too late I would not be able to use them before expiration date. I should have sent them back immediately.	Take caution to examine the expiration dates of shipped products before you use them.	Review-98
I didn't think that this Copper Moon Panama Bouquete Coffee would be all that great because of the low price, but low and behold it fooled me good. This is an excellet whole bean coffee, real nice roast that delivers a great mellow taste. Good coffee all around, sure will recomend to other coffee lover's out there. Thank you Amazon.com for another excellent product at a super low price.	Despite its low price offered by amazon.com, Copper Moon Bouquete Coffee is a whole bean coffee offering a really high level of a great mellow roasted taste sure to satisfy coffee lovers.	Review-99
